# id	left	top	right	bottom	texture_id
[SPRITES]
############### EMPTY SPRITE ###############
11100	340	1	25	25	50

#####  BIG ###############
#IDLE
11121	215	242	230	269	50
11111	175	242	190	269	50

#WALKING RIGHT
11222	255	242	270	269	50
11223	295	242	310	269	50

#WALKING LEFT
11212	135	242	150	269	50
11213	95	242	110	269	50

#RUNNING RIGHT
11321	213	322	232	349	50
11322	253	322	272	349	50
11323	293	322	312	349	50

#RUNNING LEFT
11311	173	322	192	349	50
11312	133	322	152	349	50
11313	93	322	112	349	50

#JUMP WALK RIGHT
11417	335	242	350	269	50
11413	55	242	70	269	50

#JUMP RUN RIGHT & LEFT
11427	332	362	351	389	50
11423	54	362	73	389	50

#SIT RIGHT & LEFT 
11521	376	248	391	265	50
11511	14	248	29	265	50

#BRACE RIGHT & LEFT 
11621	215	283	230	310	50
11611	175	283	190	310	50

#PICKING RIGHT & LEFT
11712	330	322	345	349	50
11711	60	322	75	349	50

#RUNNING & PICKING RIGHT & LEFT
11722	356	322	371	349	50
11721	34	322	49	349	50

#JUMP RUN PICKING
11732	253	362	272	389	50
11731	133	361	152	389	50

#FALLING RIGHT & LEFT
11733	294	244	311	271	50
11734	94	244	111	271	50

#HOLDING GOOMBA RIGHT & LEFT
11735	328	322	345	349	50
11736	354	322	371	349	50
11737	379	322	396	349	50

11738	60	322	77	349	50
11739	34	322	51	349	50
11740	7	322	24	349	50

#KICK RIGHT & LEFT
11741	251	282	272	309	50
11742	133	282	154	309	50

#DIE
13001	15	209	30	224	50

############ SMALL ################
 #IDLE
12121	215	89	230	104	50
12111	175	88	190	103	50

#WALK RIGHT
12222	255	89	270	104	50
12223	255	129	270	144	50

#WALK LEFT
12212	135	89	150	104	50
12213	135	129	150	144	50

#RUN RIGHT
12321	255	129	270	144	50
12322	215	169	230	184	50
12323	255	88	270	103	50

#RUN LEFT
12311	134	129	149	144	50
12312	175	169	190	184	50
12313	134	88	149	103	50

#BRACE RIGHT & LEFT
12511	215	129	230	144	50
12521	175	129	190	144	50

#JUMP WALK RIGHT & LEFT 
12413	55	89	70	104	50
12417	335	89	350	104	50

#JUMP RUN RIGHT & LEFT 
12423	175	209	190	224	50
12427	215	209	230	224	50

#PICKING RIGHT & LEFT
12612	335	168	350	185	50
12611	55	168	70	185	50

#RUNNING & PICKING RIGHT & LEFT
12622	376	168	391	185	50
12621	14	168	29	185	50

#JUMP RUN PICKING
12632	255	209	270	226	50
12631	135	209	150	226	50

#KICKING
12633	255	129	270	144	50
12634	135	129	150	144	50

########### RACCOON ############
#IDLE
14121	210	443	233	470	50
14122	172	443	195	470	50

#WALKING RIGHT
14124	291	443	314	470	50
14123	262	443	285	470	50

#WALKING LEFT
14126	92	443	115	470	50
14125	122	443	145	470	50

#BRACE RIGHT & LEFT 
14127	215	482	232	513	50
14128	175	482	192	513	50

#RUNNING RIGHT
14129	211	523	234	550	50
14130	251	523	274	550	50
14131	291	523	314	550	50

#RUNNING LEFT
14132	171	523	194	550	50
14133	131	523	154	550	50
14134	91	523	114	550	50

#JUMP WALK RIGHT & LEFT
14135	331	443	354	470	50
14136	52	443	75	470	50

#JUMP RUN RIGHT & LEFT

#SIT RIGHT & LEFT
14139	372	448	395	467	50
14140	12	448	35	467	50

#FALLING RIGHT & LEFT
14141	211	603	234	630	50
14142	251	603	274	630	50

14143	172	603	195	630	50
14144	132	603	155	630	50

#ROTATING RIGHT
14146	348	563	371	590	50
14147	347	483	370	510	50
14148	7	563	48	590	50
14149	382	483	405	510	50

#ROTATING LEFT
