# id	left	top	right	bottom	texture_id
[SPRITES]
#TRANSFORM MUSHROOM
120000	155	104	172	121	30
120001	155	105	172	122	30
120002	155	106	172	123	30
120003	155	107	172	124	30
120004	155	108	172	125	30
120005	155	109	172	126	30
120006	155	110	172	127	30
120007	155	111	172	128	30
120008	155	112	172	129	30
120009	155	113	172	130	30
120010	155	114	172	131	30
120011	155	115	172	132	30
120012	155	116	172	133	30
120013	155	117	172	134	30
120014	155	118	172	135	30
120015	155	119	172	136	30
120016	155	120	172	137	30
120017	155	121	172	138	30

#LIFE UP MUSHROOM
120100	285	104	302	121	30
120101	285	105	302	122	30
120102	285	106	302	123	30
120103	285	107	302	124	30
120104	285	108	302	125	30
120105	285	109	302	126	30
120106	285	110	302	127	30
120107	285	111	302	128	30
120108	285	112	302	129	30
120109	285	113	302	130	30
120110	285	114	302	131	30
120111	285	115	302	132	30
120112	285	116	302	133	30
120113	285	117	302	134	30
120114	285	118	302	135	30
120115	285	119	302	136	30
120116	285	120	302	137	30
120117	285	121	302	138	30

#LEAF
120018	370	122	387	137	30
120019	394	122	411	137	30

#PIPE
120020	0	0	31	15	40
120021	0	16	31	31	40

#BLACK PIPE
120022	116	35	147	74	40

#FIRE PIRANHA PLANT (open mouth -> close mouth)
#left bottom
130000	14	544	31	577	15
130001	114	544	131	577	15
#left top
130002	64	544	81	577	15
130003	164	544	181	577	15
#right top
130004	314	544	331	577	15
130005	214	544	231	577	15
#right bottom
130006	364	544	381	577	15
130007	264	544	281	577	15

#FIRE PIRANHA PLANT BULLET
#left
130008	236	647	245	656	15
130009	254	647	263	656	15
130010	254	667	263	676	15
130011	236	667	245	676	15
#right
130012	283	647	292	656	15
130013	301	647	310	656	15
130014	301	667	310	676	15
130015	283	667	292	676	15

#PIRANHA
130018	14	341	31	374	15
130017	64	341	81	374	15

#STATIC BRICK
130016	50	0	65	15	40

#GREEN FIRE PIRANHA
#left bottom
130100	14	391	31	424	15
130101	114	391	131	424	15
#left top
130102	64	391	81	424	15
130103	164	391	181	424	15
#right top
130104	314	391	331	424	15
130105	214	391	231	424	15
#right bottom
130106	364	391	381	424	15
130107	264	391	281	424	15


#UI
100	35	311	290	342	40

#PAUSE TEXT
101	333	157	440	174	40

#ENERGY
1002	0	229	7	236	40
1003	8	229	25	236	40

1004	395	235	514	250	40
1005	384	266	533	293	40

#NUMBER
1010	29	227	38	236	40
1011	39	227	48	236	40
1012	49	227	58	236	40
1013	59	227	68	236	40
1014	69	227	78	236	40
1015	79	227	88	236	40
1016	89	227	98	236	40
1017	99	227	108	236	40
1018	109	227	118	236	40
1019	119	227	128	236	40

#TAIL EFFECT
130108	292	121	307	136	40
130109	269	101	284	116	40
130110	270	121	283	136	40

#100 UP
130111	237	92	250	109	40
130112	237	94	250	111	40
130113	237	96	250	113	40
130114	237	98	250	115	40
130115	237	100	250	117	40

#1 UP
130116	236	126	265	151	40
130117	236	128	265	153	40
130118	236	130	265	155	40
130119	236	132	265	157	40
130120	236	134	265	159	40

#1000 UP
130121	250	90	267	109	40
130122	250	92	267	111	40
130123	250	94	267	113	40
130124	250	96	267	115	40
130125	250	98	267	117	40

#PARTICAL
130126	343	221	351	229	40

#CARD END GAME
130127	0	347	23	374	40
130128	25	347	48	374	40
130129	50	347	73	374	40
130130	75	347	98	374	40

#STAR EFFECT
130131	39	394	56	441	40
130132	61	394	72	441	40


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#TRANSFORM MUSHROOM
120000	120000	30	120001	30	120002	30	120003	30	120004	30	120005	30	120006	30	120007	30	120008	30	120009	30	120010	30	120011	30	120012	30	120013	30	120014	30	120015	30	120016	30	120017	30
120001	120017	100

#LIFE UP MUSHROOM
120100	120100	30	120101	30	120102	30	120103	30	120104	30	120105	30	120106	30	120107	30	120108	30	120109	30	120110	30	120111	30	120112	30	120113	30	120114	30	120115	30	120116	30	120117	30
120101	120117	100


#LEAF
120002	120018	100
120003	120019	100

#FIRE PIRANHA PLANT
#MOVING
#left bottom
130000	130000	150	130001	150
#left top
130003	130002	150	130003	150
#right top
130002	130004	150	130005	150
#right bottom
130001	130006	150	130007	150

#IDLE
#left bottom
130004	130000	100
#left top
130007	130002	100
#right top
130006	130004	100
#right bottom
130005	130006	100

#FIRE PIRANHA PLANT BULLET
#left
130008	130008	50	130009	50	130010	50	130011	50
#right
130009	130012	50	130013	50	130014	50	130015	50

#STATIC BRICK
140000	130016	100

#BLACK PIPE
150000	120022	100

#PIRANHA ULTIMATE AND ONLY ANIMATION
130010	130018	150	130017	150

#GREEN PIRANHA FIRE
#MOVING
#left bottom
130100	130100	150	130101	150
#left top
130103	130102	150	130103	150
#right top
130102	130104	150	130105	150
#right bottom
130101	130106	150	130107	150

#IDLE
#left bottom
130104	130100	100
#left top
130107	130102	100
#right top
130106	130104	100
#right bottom
130105	130106	100

#ATTACK EFFECT
130108	130108	50	130109	50	130110	50	130108	50

#100 UP
130109	130111	50	130112	50	130113	50	130114	50	130115	50

#1UP
130110	130116	50	130117	50	130118	50	130119	50	130120	50

#1000UP
130111	130121	50	130122	50	130123	50	130124	50	130125	50

#PARTICAL
130112	130126	100

#CARD END GAME
130113	130127	50	130128	50	130129	50
130114	130130	100

#STAR
130115	130131	50	130132	50
