# id	left	top	right	bottom	texture_id
[SPRITES]

#GROUND
50001	0	141	15	188	40
50002	17	141	32	188	40
50003	34	141	49	188	40

#CLOUD
50004	102	0	117	15	40

#SQUARE
51001	0	33	7	40	40
51002	9	33	16	40	40
51003	18	33	25	40	40
51004	0	42	7	49	40
51005	9	42	16	49	40
51006	18	42	25	49	40
51007	0	51	7	58	40
51008	9	51	16	58	40
51009	18	51	25	58	40

52001	0	60	7	67	40
52002	9	60	16	67	40
52003	18	60	25	67	40
52004	0	69	7	76	40
52005	9	69	16	76	40
52006	18	69	25	76	40
52007	0	78	7	85	40
52008	9	78	16	85	40
52009	18	78	25	85	40

53001	0	87	7	94	40
53002	9	87	16	94	40
53003	18	87	25	94	40
53004	0	96	7	103	40
53005	9	96	16	103	40
53006	18	96	25	103	40
53007	0	105	7	112	40
53008	9	105	16	112	40
53009	18	105	25	112	40

54001	0	114	7	121	40
54002	9	114	16	121	40
54003	18	114	25	121	40
54004	0	123	7	130	40
54005	9	123	16	130	40
54006	18	123	25	130	40
54007	0	132	7	139	40
54008	9	132	16	139	40
54009	18	132	25	139	40

#SQUARE SHADOW
55000	27	33	34	40	40
55001	36	43	43	50	40
55002	27	43	34	50	40
55003	36	33	43	40	40


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
